 Título, Vencimento, Taxa de Rendimento (% a.a.), Preço Unitário
Indexados ao IPCA, 
Tesouro IPCA+ 2019 (NTNB Princ),15/05/2019,"5,51","R$2.634,77"
Tesouro IPCA+ 2024 (NTNB Princ),15/08/2024,"5,36","R$2.010,24"
Tesouro IPCA+ 2035 (NTNB Princ),15/05/2035,"5,34","R$1.153,14"
Tesouro IPCA+ 2045 (NTNB Princ),15/05/2045,"5,34","R$686,39"
Tesouro IPCA+ com Juros Semestrais 2017 (NTNB),15/05/2017,"6,07","R$3.013,47"
Tesouro IPCA+ com Juros Semestrais 2020 (NTNB),15/08/2020,"5,52","R$3.102,07"
Tesouro IPCA+ com Juros Semestrais 2024 (NTNB),15/08/2024,"5,40","R$3.166,80"
Tesouro IPCA+ com Juros Semestrais 2026 (NTNB),15/08/2026,"5,42","R$3.183,90"
Tesouro IPCA+ com Juros Semestrais 2035 (NTNB),15/05/2035,"5,36","R$3.234,86"
Tesouro IPCA+ com Juros Semestrais 2045 (NTNB),15/05/2045,"5,43","R$3.259,80"
Tesouro IPCA+ com Juros Semestrais 2050 (NTNB),15/08/2050,"5,36","R$3.354,34"
Prefixados,
Tesouro Prefixado 2018 (LTN),01/01/2018,"10,70","R$915,44"
Tesouro Prefixado 2019 (LTN),01/01/2019,"10,18","R$834,91"
Tesouro Prefixado 2020 (LTN),01/01/2020,"10,25","R$756,10"
Tesouro Prefixado 2021 (LTN),01/01/2021,"10,38","R$682,96"
Tesouro Prefixado 2023 (LTN),01/01/2023,"10,58","R$555,07"
Tesouro Prefixado com Juros Semestrais 2021 (NTNF),01/01/2021,"10,31","R$1.004,02"
Tesouro Prefixado com Juros Semestrais 2023 (NTNF),01/01/2023,"10,46","R$994,85"
Tesouro Prefixado com Juros Semestrais 2025 (NTNF),01/01/2025,"10,44","R$991,80"
Tesouro Prefixado com Juros Semestrais 2027 (NTNF),01/01/2027,"10,42","R$989,75"
Indexados à Taxa Selic,
Tesouro Selic 2017 (LFT),07/03/2017,"0,01","R$8.571,06"
Tesouro Selic 2021 (LFT),01/03/2021,"0,09","R$8.540,23"
Tesouro Selic 2023 (LFT),01/03/2023,"0,10","R$8.519,76"
Indexados ao IGP-M,
Tesouro IGPM+ com Juros Semestrais 2017 (NTNC),01/07/2017,"7,05","R$3.638,25"
Tesouro IGPM+ com Juros Semestrais 2021 (NTNC),01/04/2021,"5,69","R$3.748,54"
Tesouro IGPM+ com Juros Semestrais 2031 (NTNC),01/01/2031,"5,49","R$5.875,38"
